Match type,Repository,Repository external URL,File path,File URL,Path matches [path [start end]],Chunk matches [line [start end]]
path,github.com/Labs22/BlackServerOS,https://sourcegraph.com/github.com/Labs22/BlackServerOS,OthersTools/katana_1.0.0.1(BUILD 0069)/KatanaFramework-master/lib/whois/data/public_suffix_list.dat,https://sourcegraph.com/github.com/Labs22/BlackServerOS/-/blob/OthersTools/katana_1.0.0.1(BUILD%200069)/KatanaFramework-master/lib/whois/data/public_suffix_list.dat,"[OthersTools/katana_1.0.0.1(BUILD 0069)/KatanaFramework-master/lib/whois/data/public_suffix_list.dat, [[77, 99]]]",
path,github.com/uclasystem/Semeru,https://sourcegraph.com/github.com/uclasystem/Semeru,Memory-Server/make/data/publicsuffixlist/public_suffix_list.dat,https://sourcegraph.com/github.com/uclasystem/Semeru/-/blob/Memory-Server/make/data/publicsuffixlist/public_suffix_list.dat,"[Memory-Server/make/data/publicsuffixlist/public_suffix_list.dat, [[41, 63]]]",
path,github.com/openjdk/jdk21u,https://sourcegraph.com/github.com/openjdk/jdk21u,src/java.base/share/data/publicsuffixlist/public_suffix_list.dat,https://sourcegraph.com/github.com/openjdk/jdk21u/-/blob/src/java.base/share/data/publicsuffixlist/public_suffix_list.dat,"[src/java.base/share/data/publicsuffixlist/public_suffix_list.dat, [[42, 64]]]",
path,github.com/openjdk/jdk-sandbox,https://sourcegraph.com/github.com/openjdk/jdk-sandbox,src/java.base/share/data/publicsuffixlist/public_suffix_list.dat,https://sourcegraph.com/github.com/openjdk/jdk-sandbox/-/blob/src/java.base/share/data/publicsuffixlist/public_suffix_list.dat,"[src/java.base/share/data/publicsuffixlist/public_suffix_list.dat, [[42, 64]]]",
path,github.com/datackmy/FallingSkies-CVE-2023-35885,https://sourcegraph.com/github.com/datackmy/FallingSkies-CVE-2023-35885,vendor/jeremykendall/php-domain-parser/test_data/public_suffix_list.dat,https://sourcegraph.com/github.com/datackmy/FallingSkies-CVE-2023-35885/-/blob/vendor/jeremykendall/php-domain-parser/test_data/public_suffix_list.dat,"[vendor/jeremykendall/php-domain-parser/test_data/public_suffix_list.dat, [[49, 71]]]",
path,github.com/alexiscreuzot/Flamingo,https://sourcegraph.com/github.com/alexiscreuzot/Flamingo,vendor/bundle/ruby/2.6.0/gems/domain_name-0.5.20190701/data/public_suffix_list.dat,https://sourcegraph.com/github.com/alexiscreuzot/Flamingo/-/blob/vendor/bundle/ruby/2.6.0/gems/domain_name-0.5.20190701/data/public_suffix_list.dat,"[vendor/bundle/ruby/2.6.0/gems/domain_name-0.5.20190701/data/public_suffix_list.dat, [[60, 82]]]",
path,github.com/HiGarfield/lede-17.01.4-Mod,https://sourcegraph.com/github.com/HiGarfield/lede-17.01.4-Mod,feeds/packages/net/ddns-scripts/files/public_suffix_list.dat,https://sourcegraph.com/github.com/HiGarfield/lede-17.01.4-Mod/-/blob/feeds/packages/net/ddns-scripts/files/public_suffix_list.dat,"[feeds/packages/net/ddns-scripts/files/public_suffix_list.dat, [[38, 60]]]",
path,github.com/sgtest/pinned-aws-cdk,https://sourcegraph.com/github.com/sgtest/pinned-aws-cdk,packages/aws-cdk-lib/aws-certificatemanager/suffixes/public_suffix_list.dat,https://sourcegraph.com/github.com/sgtest/pinned-aws-cdk/-/blob/packages/aws-cdk-lib/aws-certificatemanager/suffixes/public_suffix_list.dat,"[packages/aws-cdk-lib/aws-certificatemanager/suffixes/public_suffix_list.dat, [[53, 75]]]",
path,github.com/HotswapProjects/openjdk-jdk11u-dcevm,https://sourcegraph.com/github.com/HotswapProjects/openjdk-jdk11u-dcevm,make/data/publicsuffixlist/public_suffix_list.dat,https://sourcegraph.com/github.com/HotswapProjects/openjdk-jdk11u-dcevm/-/blob/make/data/publicsuffixlist/public_suffix_list.dat,"[make/data/publicsuffixlist/public_suffix_list.dat, [[27, 49]]]",
path,github.com/uclasystem/MemLiner,https://sourcegraph.com/github.com/uclasystem/MemLiner,JDK/make/data/publicsuffixlist/public_suffix_list.dat,https://sourcegraph.com/github.com/uclasystem/MemLiner/-/blob/JDK/make/data/publicsuffixlist/public_suffix_list.dat,"[JDK/make/data/publicsuffixlist/public_suffix_list.dat, [[31, 53]]]",
