Project PSL,Matched Version,Star Count,Fork Count,Static or Dynamic
nv-morpheus_Morpheus.dat,1567542986_public_suffix_list.dat,384,144,static
OpenIndiana_oi-userland.dat,Unknown,,,
openjdk_aarch64-port.dat,1715098327_public_suffix_list.dat,71,17,static
openjdk_amber.dat,1715098327_public_suffix_list.dat,181,49,static
openjdk_crac.dat,1715098327_public_suffix_list.dat,179,39,static
openjdk_jdk-sandbox.dat,1715098327_public_suffix_list.dat,57,43,static
openjdk_jdk.dat,1715098327_public_suffix_list.dat,20004,5583,static
openjdk_jdk11u-dev.dat,1699030037_public_suffix_list.dat,235,69,static
openjdk_jdk11u.dat,1699030037_public_suffix_list.dat,191,143,static
openjdk_jdk17u.dat,1715098327_public_suffix_list.dat,104,164,static
openjdk_jdk21u.dat,1715098327_public_suffix_list.dat,58,139,static
openjdk_leyden.dat,1715098327_public_suffix_list.dat,102,34,static
openjdk_loom.dat,1715098327_public_suffix_list.dat,1883,227,static
openjdk_mobile.dat,1715098327_public_suffix_list.dat,151,56,static
openjdk_panama-foreign.dat,1715098327_public_suffix_list.dat,297,61,static
openjdk_panama-vector.dat,1715098327_public_suffix_list.dat,83,42,static
openjdk_shenandoah.dat,1715098327_public_suffix_list.dat,132,37,static
openjdk_valhalla.dat,1715098327_public_suffix_list.dat,544,101,static
openjdk_wakefield.dat,1715098327_public_suffix_list.dat,186,10,static
openjdk_zgc.dat,1637967953_public_suffix_list.dat,165,41,static
OpenJML_OpenJML.dat,1680769991_public_suffix_list.dat,145,34,static
orb-community_pktvisor.dat,1656863580_public_suffix_list.dat,475,33,static
panacloud-modern-global-apps_full-stack-serverless-cdk.dat,1524186622_public_suffix_list.dat,214,105,static
possib1e_OneDragon.dat,Unknown,,,
poweradmin_poweradmin.dat,Unknown,,,static
PowerScript_KatanaFramework.dat,1484712246_public_suffix_list.dat,688,224,static
publicsuffix_list.dat,Unknown,,,
QROkes_webinoly.dat,Unknown,,,
qwe1433223_FAST-GO.dat,Unknown,,,
redirect2me_resolvers.dat,Unknown,,,
richardpenman_whois.dat,1620747796_public_suffix_list.dat,384,188,static
rockdaboot_wget2.dat,1514507210_public_suffix_list.dat,578,77,static
rushmorem_publicsuffix.dat,1615497398_public_suffix_list.dat,97,17,dynamic
sandialabs_scot.dat,1601938544_public_suffix_list.dat,245,48,dynamic
SAP_SapMachine.dat,1715098327_public_suffix_list.dat,512,95,static
